id,nombre,fecha,tipo,altitud,localidad,subtipo,replicate,crop_code
307,P023,10/09/12,ROBLEDAL,1868,CANAR,ROBLEDAL,R3,CA3
294,P026,10/09/12,ROBLEDAL,1892,CANAR,ROBLEDAL,R3,CA3
289,P021,10/09/12,ROBLEDAL,1883,CANAR,ROBLEDAL,R3,CA3
288,P022,10/09/12,ROBLEDAL,1833,CANAR,ROBLEDAL,R2,CA2
23,B004,03/10/12,CLARO_BORDE,1802,CANAR,CLARO1,R1,CA1
172,B010,10/09/12,CLARO_BORDE,1851,CANAR,CLARO2,R2,CA2
171,B008,10/09/12,CLARO_BORDE,1847,CANAR,CLARO2,R2,CA2
165,B002,10/09/12,CLARO_BORDE,1873,CANAR,CLARO3,R3,CA3
340,A009,27/11/12,CLARO,1718,SANJUAN,CL2,R2,SJ2
225,C002,08/11/12,CLARO_BORDE,1673,SANJUAN,CL1,R1,SJ1
204,C006,31/10/12,CLARO_BORDE,1641,SANJUAN,CL2,R2,SJ2
193,A018,31/10/12,CLARO,1720,SANJUAN,CL2,R2,SJ2
212,A015,10/09/12,CLARO,1689,SANJUAN,CL2,R2,SJ2
203,A013,31/10/12,CLARO,1652,SANJUAN,CL2,R2,SJ2
197,A010,31/10/12,CLARO,1706,SANJUAN,CL2,R2,SJ2
220,A004,08/11/12,CLARO,1588,SANJUAN,CL1,R1,SJ1
218,A006,08/11/12,CLARO,1612,SANJUAN,CL1,R1,SJ1
196,A008,31/10/12,CLARO,1684,SANJUAN,CL2,R2,SJ2
226,C010,10/09/12,CLARO_BORDE,1649,SANJUAN,CL2,R2,SJ2
205,A029,31/10/12,ROBLEDAL,1575,SANJUAN,ROBLEDAL,R2,SJ2
208,A026,31/10/12,ROBLEDAL,1641,SANJUAN,ROBLEDAL,R2,SJ2
223,C001,08/11/12,CLARO_BORDE,1621,SANJUAN,CL1,R1,SJ1
221,C003,08/11/12,CLARO_BORDE,1578,SANJUAN,CL1,R1,SJ1
207,C004,31/10/12,CLARO_BORDE,1658,SANJUAN,CL2,R2,SJ2
195,A017,31/10/12,CLARO,1681,SANJUAN,CL2,R2,SJ2
194,A019,31/10/12,CLARO,1660,SANJUAN,CL2,R2,SJ2
198,A016,31/10/12,CLARO,1708,SANJUAN,CL2,R2,SJ2
201,A014,31/10/12,CLARO,1672,SANJUAN,CL2,R2,SJ2
202,A012,31/10/12,CLARO,1673,SANJUAN,CL2,R2,SJ2
199,A011,31/10/12,CLARO,1693,SANJUAN,CL2,R2,SJ2
222,A003,08/11/12,CLARO,1607,SANJUAN,CL1,R1,SJ1
219,A002,08/11/12,CLARO,1612,SANJUAN,CL1,R1,SJ1
217,A001,08/11/12,CLARO,1640,SANJUAN,CL1,R1,SJ1
216,A005,08/11/12,CLARO,1649,SANJUAN,CL1,R1,SJ1
210,A007,31/10/12,CLARO,1709,SANJUAN,CL2,R2,SJ2
224,A024,08/11/12,ROBLEDAL,1629,SANJUAN,ROBLEDAL,R1,SJ1
206,A028,31/10/12,ROBLEDAL,1604,SANJUAN,ROBLEDAL,R2,SJ2
209,A027,31/10/12,ROBLEDAL,1613,SANJUAN,ROBLEDAL,R2,SJ2
446,A040,03/10/13,ROBLEDAL,1629,SANJUAN,ROBLEDAL,R2,SJ2
445,A041,03/10/13,ROBLEDAL,1746,SANJUAN,ROBLEDAL,R2,SJ2
447,A036,03/10/13,ROBLEDAL,1720,SANJUAN,ROBLEDAL,R2,SJ2
448,A037,03/10/13,ROBLEDAL,1729,SANJUAN,ROBLEDAL,R2,SJ2
449,A038,03/10/13,ROBLEDAL,1652,SANJUAN,ROBLEDAL,R2,SJ2
450,A039,03/10/13,ROBLEDAL,1583,SANJUAN,ROBLEDAL,R2,SJ2
451,A035,04/10/13,ROBLEDAL,1615,SANJUAN,ROBLEDAL,R1,SJ1
452,A034,04/10/13,ROBLEDAL,1507,SANJUAN,ROBLEDAL,R1,SJ1
453,A033,04/10/13,ROBLEDAL,1527,SANJUAN,ROBLEDAL,R1,SJ1
454,A032,04/10/13,ROBLEDAL,1571,SANJUAN,ROBLEDAL,R1,SJ1
455,A031,04/10/13,ROBLEDAL,1674,SANJUAN,ROBLEDAL,R1,SJ1
